索引=32(2位鱼线组号)（1位0~8客户端表/9服务端表）（1位序号）000 ,鱼id,帧,轨迹
320101542,100000004,12062,6660
320101387,100000008,8984,11111
320103161,100,3303,2049
320101057,100,1201,2009
320103186,100000007,3904,7773
320101210,100000011,4485,7774
320101396,100000008,9125,11111
320103548,100000050,10812,771
320105401,100000013,11928,3330
320101058,100000013,1201,3335
320101059,100000008,1201,7776
320103340,100000010,6750,3334
320101220,100000006,4656,3332
320101060,100000007,1202,11110
320101061,100000008,1281,11122
320104081,100,2472,2044
320101214,100000011,4501,7770
320104002,100000006,1,7777
320101062,100000008,1312,11122
320106241,100000010,7201,7774
320101208,100000006,4440,3332
320101541,100000010,12046,550
320104059,100000011,1765,7773
320106308,100000005,9302,11120
320101063,100000008,1343,11122
320101395,100000010,9093,7776
320105113,100000052,3301,4
320101065,100000012,1383,7772
320102575,100,13000,2013
320101218,100000008,4561,7773
320102616,100000011,14375,7773
320101404,100000010,9250,11110
320103305,100000012,6020,7777
320101066,100000008,1411,11122
320103043,100000012,601,6660
320101067,100000011,1411,9993
320103204,100000012,4201,7777
320101228,100000010,4859,8883
320102542,100000011,11859,3120
320101068,100000008,1453,11122
320103495,100000014,9902,5550
320101069,100000011,1480,9993
320106362,100,11101,2007
320101222,100000010,4765,8883
320101070,100000050,1500,7774
320102441,100,9305,2039
320101216,100000011,4503,7772
320101549,100000010,12191,1
320101071,100000008,1500,11122
320104340,100000012,10509,7770
320106059,100000008,1640,7779
320103534,100000012,10501,5550
320101558,100000013,12421,9990
320103048,100000003,625,770
320105295,100000008,8702,7779
320101072,100000151,1501,1
320103170,100000008,3604,7771
320102278,100000013,5633,14
320103145,100000013,2955,7777
320101403,100000011,9249,11111
320101073,100000012,1501,6663
320104350,100000008,11048,9990
320106077,100000011,2104,7770
320103475,100000012,9548,7775
320101226,100000010,4812,8883
320103532,100000008,10501,2
320105385,100000008,11453,7779
320101412,100000011,9375,771
320101074,100000012,1501,7776
320104221,100000012,6904,8882
320106078,100000014,2250,13
320101075,100,1502,2012
320101236,100000013,5040,3336
320102406,100000012,8462,7772
320105283,100000012,8401,7772
320101076,100000002,1515,771
320101077,100000014,1547,15
320103350,100000012,6903,7773
320101230,100000010,4906,8883
320101078,100000002,1562,771
320104171,100000008,5401,7779
320101224,100000013,4801,5552
320101557,100000011,12406,6660
320101079,100000011,1562,9993
320104204,100000014,6437,13
320101566,100000011,12656,7772
320106180,100000014,5349,7775
320101080,100,1578,2054
320102286,100000012,5773,7772
320103009,100000007,112,5553
320105378,100,11401,2012
320101411,100,9375,2013
320101081,100000010,1604,8881
320104214,100,6901,2016
320101234,100,5015,2005
320101420,100,9601,2052
320103058,100000013,754,553
320105297,100000012,8770,8881
320101082,100000002,1616,771
320104039,100000007,1078,11111
320101083,100,1645,2054
320101244,100000101,5140,1
320103315,100000011,6301,7771
320101084,100000008,1654,882
320103061,100,890,2054
320101085,100000002,1654,771
320103214,100000013,4359,3333
320101238,100,5101,2039
320101086,100000010,1674,662
320101232,100000011,4958,9991
320101565,100000012,12655,12
320102553,100,12180,2001
320106332,100000014,9993,14
320101087,100000002,1703,771
320101088,100000013,1759,11125
320106092,100000011,2704,7775
320101446,100000005,10343,9992
320102423,100000013,9017,3334
320102294,100000053,6001,1
320103410,100000007,7875,1
320101419,100000014,9584,11
320105137,100,3902,2026
320103587,100000008,11796,7778
320106342,100000152,10501,4
320101089,100000152,1765,663
320101242,100000012,5103,8882
320106189,100000004,5701,7771
320103281,100000012,5554,7773
320101428,100000011,9795,7775
320105138,100000005,3903,7775
320101090,100000012,1776,8882
320101091,100000011,1789,7774
320106264,100,7836,2047
320101124,100000002,2406,5552
320101092,100,1801,2050
320106279,100000010,8337,7775
320101093,100000013,1801,3336
320102587,100000012,13505,11110
320101246,100000001,5203,9990
320103512,100,10201,2010
320103333,100000006,6603,7772
320101094,100000011,1801,3334
320102417,100000012,8704,8882
320101095,100,1802,2043
320101445,100000005,10281,9993
320101240,100000006,5101,5552
320101096,100000011,1802,9992
320104076,100,2296,2024
320101454,100000012,10501,6660
320103121,100,2401,2047
320102302,100000003,6125,8883
320103274,100000013,5419,3331
320101427,100000011,9640,771
320103451,100000008,9005,221
320101097,100,1826,2035
320101122,100000011,2401,6663
320104326,100000013,10307,3330
320103042,100000051,601,4
320105281,100000012,8310,7773
320101436,100000005,10156,9992
320101098,100000007,1843,7773
320106102,100000009,3301,5551
320102581,100000009,13288,17
320104296,100000014,9421,15
320106031,100000007,875,7775
320101099,100000007,1898,7773
320104151,100,4707,2027
320101132,100000007,2494,11120
320101633,100,13765,2050
320103076,100,1316,2006
320105307,100000013,9077,3335
320101100,100000011,1898,7770
320104041,100,1155,2035
320101101,100000007,1953,7773
320101126,100000013,2439,3336
320101102,100000007,2015,7773
320106281,100000004,8337,8883
320101103,100000007,2078,7773
320101453,100000014,10501,11
320101120,100000007,2401,2
320102578,100000013,13236,5553
320101104,100000103,2101,5550
320101462,100000011,10718,9991
320106204,100000011,6181,332
320104037,100000013,1050,5552
320102310,100000012,6231,7776
320102535,100000006,11702,5554
320101435,100000005,10093,9992
320101105,100000009,2101,11111
320101130,100000002,2494,5552
320101106,100000011,2102,5554
320102445,100000007,9523,774
320101107,100000006,2103,7775
320104015,100000011,453,7770
320101140,100000012,2673,7774
320106376,100000009,11402,8880
320103498,100000011,9975,9991
320101641,100000011,14012,881
320101108,100,2123,2035
320101109,100000007,2156,7773
320106274,100000009,8191,11111
320101134,100000008,2545,7776
320103086,100000007,1609,8882
320105325,100000012,9601,6663
320101110,100000014,2235,7772
320101111,100000008,2235,9992
320106099,100000012,3181,7773
320103581,100,11654,2047
320103248,100000006,4984,11111
320101461,100000011,10696,221
320101128,100000002,2453,5552
320102442,100000008,9343,3332
320105335,100000009,9903,7779
320101112,100000008,2235,9993
320101470,100000011,10859,9990
320103105,100000007,1890,8882
320101113,100000006,2281,7778
320103258,100000010,5102,5553
320101138,100,2611,2048
320103492,100000010,9890,9993
320101114,100000012,2281,8883
320101115,100,2284,2028
320106288,100000013,8596,3334
320101148,100000012,2828,7777
320104056,100000011,1502,5554
320101116,100000011,2310,7777
320106303,100000101,9301,7771
320101117,100000006,2328,7778
320104153,100000013,4801,3335
320101142,100000011,2701,7773
320101118,100000006,2359,7778
320103095,100000012,1781,6660
320101119,100000002,2359,5552
320103445,100000007,8702,5550
320101469,100000011,10843,9991
320101136,100000013,2586,11126
320103588,100000008,11828,7778
320101612,100000010,13475,11110
320103225,100000006,4586,11111
320101121,100000012,2401,7771
320106182,100,5402,2050
320103578,100000013,11587,13
320101458,100,10502,2031
320103243,100,4910,2035
320105108,100000006,3004,7779
320101123,100000006,2403,7778
320102588,100,13546,2003
320101432,100000011,9901,7770
320101125,100,2436,2043
320101127,100000006,2453,7778
320101620,100000006,13598,11113
320101129,100000005,2494,5551
320103442,100000008,8701,7779
320101466,100000014,10801,7772
320104136,100000011,4201,8882
320101131,100000007,2494,8882
320106383,100000013,11666,3334
320101133,100000006,2500,7778
320101135,100000002,2546,5552
320102520,100000008,11378,11110
320101628,100000050,13689,7775
320104261,100000008,8401,11111
320101137,100000002,2593,5552
320101474,100000011,10906,9990
320104367,100000011,11494,9990
320106216,100000008,6468,8882
320103004,100000008,0,11110
320101139,100000050,2664,5553
320103440,100,8701,2039
320103261,100000050,5104,7774
320105118,100,3302,2026
320101141,100000105,2701,5550
320103574,100000010,11500,881
320101143,100000005,2702,5553
320101477,100,10921,2011
320101144,100000011,2702,9990
320106211,100000004,6302,7771
320101145,100000008,2718,9993
320101508,100000152,11401,2
320104253,100000006,8101,7779
320106110,100000004,3453,7772
320101146,100000011,2731,9991
320103219,100000011,4501,7773
320101482,100000050,10937,9993
320101147,100000008,2765,9993
320104146,100000010,4558,5550
320101149,100000010,2828,8881
320106385,100000050,11701,5553
320104017,100000010,563,5552
320101150,100000008,2828,9993
320106386,100000014,11702,5554
320101151,100000006,2874,6662
320104014,100000008,424,11113
320106253,100000050,7502,5550
320101516,100,11671,2032
320102632,100000011,14827,2
320101153,100000008,2937,9993
320104112,100000014,3467,14
320101490,100000005,11101,11110
320101155,100000011,3001,7772
320103276,100000011,5468,5554
320101156,100,3001,2034
320103014,100000007,234,5553
320101157,100000013,3002,5553
320101159,100000008,3015,9993
320104347,100000013,10915,3335
320106212,100000013,6302,5552
320101524,100000008,11781,5554
320102496,100,10781,2054
320101161,100000102,3125,19
320104365,100000009,11402,8881
320106222,100000011,6601,7773
320101498,100000007,11171,11126
320106112,100000004,3511,7772
320101163,100000013,3186,3336
320101165,100,3265,2027
320101167,100000012,3301,6660
320101532,100000008,11921,881
320106006,100000050,153,5551
320101169,100000050,3302,661
320102534,100000011,11701,7770
320101378,100000011,8827,11111
320103530,100,10501,2021
320101171,100,3315,2052
320101173,100000011,3601,7775
320103295,100000008,5906,7771
320105144,100000006,4061,7778
320101175,100000011,3622,9992
320101540,100000005,12031,5552
320103169,100000013,3601,3331
320105026,100,603,2046
320101177,100000011,3697,7774
320101386,100000010,8953,7776
320101179,100000011,3750,7774
320102080,100,1802,2043
320104327,100000013,10346,3330
320102532,100000011,11668,7777
320101181,100000011,3812,7774
320101183,100000013,3866,11111
320106236,100000014,7054,11
320101184,100000011,3875,7774
320101517,100000010,11687,550
320103289,100000014,5748,9991
320101185,100000011,3901,7773
320102366,100000008,7453,7776
320103338,100000010,6687,3334
320101491,100,11102,2022
320101186,100000010,3901,5553
320103307,100000013,6099,3335
320105172,100000005,5037,2
320101187,100000009,3902,5550
320101188,100000012,3903,7774
320101496,100000008,11140,7775
320101189,100,3968,2006
320101190,100000011,4043,7775
320103040,100000011,593,337
320101191,100,4055,2039
320103312,100,6237,2024
320101192,100000010,4109,11120
320101525,100000014,11812,11
320103050,100000003,656,770
320101193,100,4109,2011
320104101,100000011,3161,7771
320102374,100000008,7578,7776
320102599,100000013,13972,660
320101499,100,11172,2044
320104254,100000007,8101,5551
320101194,100000013,4126,8883
320103171,100000012,3640,221
320101195,100000011,4148,7771
320101196,100000010,4177,11120
320101376,100,8767,2034
320101197,100,4201,2048
320101198,100000050,4201,3
320101199,100000011,4201,6661
320103509,100000011,10180,9991
320103176,100000011,3781,11113
320101200,100000012,4201,7772
320101533,100000010,11921,550
320101201,100000012,4203,20
320103499,100000010,10015,9993
320101379,100000010,8827,11113
320103322,100000010,6421,5552
320101202,100000009,4240,333
320103068,100,1084,2046
320101203,100000010,4250,11120
320104079,100000005,2401,7772
320101204,100,4281,2003
320103504,100000010,10062,9993
320103325,100000008,6481,7777
320105182,100000004,5341,881
320101384,100000011,8938,7772
320101205,100000010,4328,11120
320101206,100,4435,2024
320101207,100000013,4440,6661
320102448,100000012,9601,6660
320101572,100000010,12796,8883
320104317,100000008,10070,8881
320106174,100000014,5102,5550
320101209,100000014,4440,5553
320101211,100000006,4500,3332
320101212,100000014,4501,11
320103189,100000011,3968,11113
320101392,100000010,9046,7776
320101213,100000006,4501,5551
320101215,100000053,4502,5552
320104078,100000012,2401,6663
320106317,100000012,9601,6663
320101580,100000010,12984,9993
320101217,100000006,4546,3332
320101219,100000006,4593,3332
320103078,100,1501,2039
320101400,100000010,9203,11110
320101221,100000010,4750,7775
320101223,100000302,4801,21
320101588,100000009,13178,11110
320102560,100000012,12347,14
320101225,100000050,4802,7777
320101227,100000050,4812,8882
320101408,100,9303,2034
320101229,100,4887,2009
320102434,100000008,9296,3332
320101231,100000010,4953,8883
320101596,100000009,13328,11110
320106070,100000014,1890,7774
320103476,100000008,9561,7777
320101233,100000010,5015,8883
320102598,100000014,13912,17
320101442,100000005,10216,9993
320103594,100000010,11937,333
320101235,100000050,5031,5554
320101416,100000011,9498,771
320101237,100000012,5050,8881
320103359,100000008,7058,550
320105208,100000012,6003,7771
320101239,100000012,5101,6661
320101604,100000009,13420,880
320103233,100000006,4734,11111
320105090,100000009,2401,8882
320101241,100000011,5102,8880
320101450,100000005,10421,9993
320102462,100000011,9902,7775
320101243,100000008,5109,7770
320102596,100,13859,2026
320101424,100,9602,2045
320101245,100000001,5156,9990
320103223,100000006,4523,11111
320101247,100000014,5221,14
320101248,100000001,5250,9990
320101581,100000010,13047,9993
320103353,100000010,6937,11124
320101249,100000001,5293,9990
320101250,100000005,5343,6660
320103371,100000010,7203,11124
320101251,100000013,5343,7775
320102461,100000050,9901,5553
320101252,100000001,5343,9990
320104031,100000007,872,9991
320101401,100000013,9208,11126
320101253,100000011,5376,9993
320101560,100,12500,2007
320101254,100000007,5394,7777
320104194,100000013,6099,3334
320103104,100000011,1890,7771
320101255,100,5401,2048
320103376,100000011,7312,9992
320101256,100000011,5401,7771
320101589,100000010,13212,772
320106260,100000051,7801,3
320103114,100000012,2112,11
320101257,100,5402,2046
320101258,100000011,5403,7776
320103235,100000006,4796,11111
320101259,100000013,5409,11127
320101260,100000012,5570,7773
320101409,100000008,9305,7775
320106159,100000007,4794,771
320101440,100000011,10203,7772
320101261,100000051,5593,7772
320106042,100000050,1202,7773
320101262,100000010,5609,5552
320104020,100,601,2048
320101263,100000011,5656,5551
320106251,100000004,7501,5551
320103573,100000008,11477,7771
320103240,100000011,4859,7773
320101264,100000014,5700,11
320101597,100000014,13358,661
320104030,100000011,868,7772
320101265,100000104,5812,660
320106269,100000010,8101,7779
320103563,100000008,11328,7771
320101443,100000011,10275,7777
320103386,100000008,7501,11120
320101266,100000010,5817,7771
320106270,100000007,8101,5551
320103132,100000008,2582,11113
320101267,100000014,5867,662
320104143,100000011,4501,7776
320101268,100000011,5910,7774
320102573,100,12953,2048
320101417,100000012,9548,7771
320104288,100000011,9301,7775
320103568,100,11402,2033
320103389,100000009,7506,11111
320101448,100000013,10366,3334
320101269,100,6000,2022
320103447,100000010,8736,11111
320101270,100000101,6001,1
320101271,100000013,6001,2
320101272,100000005,6001,6661
320101605,100000007,13429,773
320101273,100000011,6001,8880
320103427,100,8402,2008
320101451,100,10501,2046
320103250,100000005,5031,7770
320101274,100000012,6002,8881
320101275,100000013,6009,17
320104231,100000013,7209,3332
320101276,100000012,6031,7777
320101425,100000011,9602,335
320103432,100000013,8545,5552
320103253,100000006,5062,11111
320101456,100000005,10502,5554
320101277,100,6073,2043
320104145,100000011,4502,7777
320101278,100,6105,2050
320101279,100,6118,2055
320101638,100,13875,2028
320102505,100000006,11101,11113
320101280,100,6175,2010
320101613,100000007,13500,773
320106284,100000050,8401,7772
320101281,100000010,6301,5551
320101459,100000011,10507,7775
320105177,100000050,5102,5551
320101282,100000011,6301,7776
320101283,100000008,6302,5552
320103404,100000012,7801,6660
320101284,100000011,6302,9991
320103425,100,8401,2019
320101433,100000005,9902,5552
320103142,100000011,2769,7770
320101464,100000011,10765,9991
320101285,100000011,6329,5553
320103013,100000007,171,5553
320101286,100000008,6406,7770
320104124,100,3901,2009
320101637,100000013,13875,7770
320101287,100000012,6452,3334
320101288,100000013,6543,3335
320101621,100000008,13609,772
320102624,100000014,14671,660
320101289,100,6546,2026
320103234,100000011,4796,7773
320102342,100000012,6901,8882
320101467,100000011,10804,9991
320103539,100000013,10557,221
320101290,100000014,6584,5551
320106294,100000011,8702,7775
320101291,100000010,6601,11120
320103268,100000011,5353,9993
320101292,100,6602,2037
320101472,100000011,10890,9991
320101293,100000007,6656,7773
320104233,100000008,7448,11113
320103414,100000050,7945,2
320101294,100000010,6687,11111
320102498,100000011,10803,9992
320101295,100000013,6689,3336
320101296,100000009,6699,7772
320101629,100000004,13703,333
320103540,100000014,10700,11
320101297,100000010,6734,11111
320103226,100000007,4596,5552
320102350,100000012,7070,7771
320103073,100000012,1233,661
320101475,100000013,10913,5550
320101298,100000010,6796,11111
320103323,100000010,6437,3334
320102183,100000003,3902,5551
320105188,100000013,5409,3335
320101506,100000008,11390,7775
320101299,100000010,6859,11111
320101300,100,6901,2037
320101480,100000050,10937,9992
320101301,100000051,6901,4
320103278,100000013,5499,3332
320105005,100000007,56,7770
320101302,100000012,6901,6661
320103423,100000012,8279,7774
320101303,100000013,6901,5553
320106291,100000012,8701,6663
320101509,100000012,11401,6663
320101304,100000011,6901,7777
320103297,100000008,5952,3332
320105154,100000013,4425,3336
320101305,100,6902,2013
320102487,100,10502,2012
320105226,100000008,6601,11112
320102358,100000013,7209,7776
320101483,100000012,10949,7774
320105201,100000013,5921,14
320101306,100000007,6902,5554
320102526,100000012,11406,8882
320101307,100,6903,2053
320102405,100000013,8417,6663
320101308,100000012,6905,7771
320104248,100,7819,2011
320101488,100,11101,2008
320101309,100000010,6921,11111
320101310,100000010,7000,11111
320103287,100000007,5702,7774
320101311,100000011,7109,7773
320103047,100000012,604,7773
320101312,100000005,7154,7774
320103417,100000011,8101,7772
320101313,100000050,7196,5553
320101314,100,7201,2002
320101315,100000013,7201,5551
320102525,100,11402,2027
320101316,100000011,7201,9990
320104240,100000011,7708,7773
320104095,100000010,3001,7777
320101465,100000011,10765,9990
320101317,100,7202,2051
320101624,100000014,13636,11120
320101318,100000011,7203,7772
320104258,100000012,8306,7772
320101438,100,10171,2023
320104315,100000013,9906,7774
320106052,100,1501,2038
320101319,100,7357,2053
320101320,100000012,7437,7773
320106324,100,9802,2032
320101321,100000013,7474,3333
320103049,100000011,625,337
320101322,100000014,7501,10
320103299,100,5996,2033
320101323,100,7501,2027
320101324,100000050,7501,11110
320101473,100,10896,2020
320106223,100,6602,2021
320101504,100000012,11368,7773
320101325,100000008,7502,5552
320106106,100000050,3302,5552
320101326,100000009,7502,11120
320104250,100000008,7839,8882
320104084,100000012,2508,7771
320101327,100,7531,2013
320106315,100,9601,2049
320103304,100000012,6004,7770
320105039,100000007,1048,5553
320101328,100000006,7573,6660
320104094,100000009,2937,7778
320101329,100000010,7599,6661
320106333,100000010,10182,7770
320101507,100,11401,2049
320101330,100000052,7625,661
320106334,100000013,10201,3336
320101331,100000011,7658,7772
320101332,100000009,7665,11127
320101481,100000011,10937,9990
320104352,100,11101,2008
320101512,100000011,11476,9991
320101333,100000010,7734,8883
320103511,100,10198,2056
320106250,100,7501,2010
320101334,100,7762,2030
320101335,100000105,7801,3
320101336,100000012,7801,6663
320101337,100000011,7801,7777
320103314,100000011,6253,7774
320105041,100000010,1078,7778
320101338,100000011,7803,7775
320101339,100000013,7809,3330
320104295,100,9406,2031
320103059,100000012,794,8881
320101340,100,7811,2042
320103220,100000004,4501,5553
320101489,100000050,11101,5553
320103496,100000011,9902,9991
320103317,100000010,6302,5552
320101341,100,7832,2043
320101520,100000011,11703,7774
320101342,100000012,7855,8881
320101343,100000010,7860,3130
320102569,100000012,12792,6662
320101344,100000010,7860,3120
320106348,100000014,10502,5551
320101345,100000050,7860,7770
320101346,100000013,7937,3332
320101347,100,7943,2049
320106008,100000011,161,7772
320101348,100000013,8092,3335
320106023,100000012,601,6661
320103489,100000010,9790,9993
320101497,100000014,11156,10
320101349,100000050,8101,5550
320101528,100000010,11890,550
320103077,100000009,1337,11120
320101350,100000014,8101,7774
320101351,100000012,8102,5552
320102433,100000008,9250,3332
320101352,100000011,8103,9993
320101353,100000011,8115,9992
320101354,100000014,8218,11
320106358,100000013,10879,3335
320104040,100000014,1144,15
320106287,100000012,8584,8883
320101355,100000012,8294,7773
320103332,100,6602,2006
320105051,100000152,1501,16
320101356,100000053,8401,7771
320103481,100,9602,2048
320101377,100000008,8827,8883
320101357,100,8402,2008
320101536,100000005,11968,5552
320104297,100000105,9434,10
320101358,100000007,8402,223
320106025,100,602,2047
320102562,100,12375,2042
320101359,100000013,8417,5551
320101360,100000050,8418,5550
320101361,100000010,8419,9993
320103467,100000011,9302,11113
320101362,100000011,8420,7776
320101363,100000105,8434,4
320101364,100000011,8520,9991
320101385,100,8938,2026
320106135,100000004,4201,4
320101365,100000010,8531,7775
320101544,100000011,12070,10
320106018,100000013,536,3333
320103342,100000011,6810,7770
320105069,100000011,1802,7770
320101366,100000010,8546,3334
320103478,100,9601,2045
320101367,100000013,8650,3335
320106355,100,10801,2055
320101368,100000011,8671,3333
320101573,100,12806,2024
320103361,100000010,7078,11124
320101369,100,8678,2028
320106245,100000012,7296,7775
320101370,100000303,8701,14
320102590,100000014,13614,2
320101371,100000011,8701,6661
320106032,100000004,901,5552
320102469,100,10201,2005
320101372,100000012,8701,8883
320104312,100000011,9902,7775
320106047,100000008,1317,7778
320104167,100000004,5159,5554
320101393,100000008,9075,11111
320104050,100000011,1323,7775
320106289,100000053,8701,2
320101373,100000050,8702,5552
320101552,100000012,12281,7776
320101374,100000012,8707,8880
320103351,100000013,6906,222
320101375,100000011,8756,7774
320103098,100,1801,2004
320101380,100000011,8845,8882
320103206,100000012,4203,7771
320102370,100000007,7502,5551
320103053,100000003,687,770
320101383,100000014,8938,14
320101388,100000011,9001,7777
320105098,100000005,2701,7774
320102579,100000011,13270,7777
320102378,100000010,7640,8882
320105334,100000007,9902,5554
320101391,100000008,9031,11111
320103514,100000013,10201,221
320101394,100,9078,2031
320103318,100000011,6303,7773
320101399,100000053,9203,5551
320101402,100000008,9218,11111
320101407,100,9302,2009
320101410,100000010,9343,11110
320104303,100000012,9601,7774
320106152,100000010,4578,11110
320101413,100000010,9390,11110
320106147,100000011,4501,7776
320102626,100000008,14705,11122
320101414,100000011,9423,9992
320102274,100000011,5421,7771
320102555,100000005,12218,11111
320101415,100000011,9437,771
320101418,100000011,9562,771
320101421,100000102,9601,2
320103542,100,10801,2038
320101422,100000012,9601,6663
320104009,100000013,267,3335
320102282,100000006,5702,5552
320101423,100000012,9601,7777
320104048,100000013,1281,3334
320101426,100000052,9640,21
320104043,100000007,1171,11111
320101429,100000013,9808,3335
320103415,100,7971,2052
320101430,100,9872,2042
320102290,100,5890,2023
320105246,100,7201,2051
320103551,100000010,11015,881
320105093,100000013,2507,3335
320101431,100000012,9901,5553
320102606,100000008,14136,7773
320101434,100000011,9903,9992
320106048,100000007,1359,5554
320101437,100000005,10156,9993
320104324,100000008,10208,7779
320106171,100000302,5101,2
320102298,100000010,6062,11112
320101439,100000005,10201,7776
320103545,100000013,10802,3336
320105276,100000005,8101,5554
320101441,100000005,10216,9992
320103162,100000012,3304,7773
320101444,100000005,10281,9992
320106046,100000007,1289,5554
320103117,100000011,2187,7770
320101447,100000005,10347,9993
320101449,100000011,10382,8881
320106199,100000007,6001,8882
320101452,100000053,10501,4
320105162,100000014,4744,11
320101455,100000007,10501,5550
320101457,100000012,10502,7770
320101460,100000008,10658,7773
320103382,100000010,7484,7774
320101463,100000011,10734,9990
320101468,100000011,10812,9990
320101471,100000013,10875,19
320103596,100,12046,2030
320101476,100,10916,2042
320101478,100000011,10937,9991
320102338,100000010,6875,7770
320102619,100000301,14491,663
320101479,100000007,10937,11126
320103460,100000014,9261,5553
320101484,100000011,10984,9991
320104073,100000006,2102,5552
320102346,100000050,6955,774
320101487,100000007,11066,11126
320104226,100,7201,2043
320103345,100000051,6901,1
320101492,100000006,11102,5551
320105202,100000013,5953,3334
320102354,100000013,7201,4
320105310,100,9281,2005
320101495,100000009,11120,9990
320103106,100000011,1984,7771
320105345,100,10201,2005
320101500,100000008,11203,7775
320102362,100,7382,2053
320103479,100000102,9601,2
320101503,100000050,11347,6661
320101505,100000013,11384,663
320102171,100000007,3776,9991
320102402,100000050,8401,7776
320101510,100000012,11401,7775
320102459,100000014,9901,10
320101511,100,11402,2018
